                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.3243,                0.61763,                0.91095,                0.69276,                0.62876,                0.62811,                0.35903,                 1.3363,                0.65664,                0.93805,             0.00085604,             0.00085604,             0.00085604
                     84,                 1.2818,                0.60459,                0.91076,                 0.6791,                0.63568,                0.63827,                0.35789,                 1.3457,                0.66471,                 0.9394,             0.00084897,             0.00084897,             0.00084897
                     85,                 1.3151,                0.61211,                0.90781,                0.67696,                0.64474,                0.63168,                0.35496,                 1.3623,                0.65789,                0.94081,              0.0008419,              0.0008419,              0.0008419
                     86,                 1.2832,                0.59868,                0.91309,                0.66911,                0.63283,                0.62651,                0.35827,                 1.3375,                0.66533,                0.93654,             0.00083482,             0.00083482,             0.00083482
                     87,                 1.2532,                0.58628,                0.90974,                0.69306,                0.62927,                0.63763,                0.36445,                 1.3531,                0.65859,                0.94347,             0.00082775,             0.00082775,             0.00082775
                     88,                 1.2563,                0.59457,                0.90654,                0.67899,                0.63033,                0.63171,                0.35554,                 1.3549,                0.66079,                0.94014,             0.00082067,             0.00082067,             0.00082067
                     89,                  1.306,                0.61075,                0.90693,                0.67201,                0.64672,                0.64085,                0.36583,                 1.3396,                0.65318,                0.94035,              0.0008136,              0.0008136,              0.0008136
                     90,                 1.2856,                0.59768,                0.90948,                0.70331,                0.60352,                0.62543,                0.34886,                 1.3815,                0.66644,                0.94822,             0.00080653,             0.00080653,             0.00080653
                     91,                 1.2657,                0.59024,                0.90381,                 0.7005,                 0.6319,                0.64304,                0.37017,                 1.3284,                0.64945,                0.93916,             0.00079945,             0.00079945,             0.00079945
                     92,                   1.25,                0.58042,                0.90342,                0.68866,                0.64567,                 0.6467,                0.36561,                 1.3322,                0.65693,                0.94468,             0.00079238,             0.00079238,             0.00079238
                     93,                 1.2374,                 0.5744,                0.90536,                0.71939,                0.63206,                0.64642,                0.36666,                 1.3374,                0.66702,                0.94339,             0.00078531,             0.00078531,             0.00078531
                     94,                 1.2792,                0.59267,                0.89975,                0.68857,                0.62723,                0.63618,                0.35878,                 1.3484,                0.66249,                0.93931,             0.00077823,             0.00077823,             0.00077823
                     95,                 1.2814,                0.59864,                0.90345,                0.68659,                0.64579,                0.64332,                0.36744,                 1.3235,                0.64767,                 0.9373,             0.00077116,             0.00077116,             0.00077116
                     96,                 1.2285,                0.58105,                0.90187,                0.71527,                0.63371,                0.64687,                 0.3653,                 1.3269,                 0.6431,                0.93533,             0.00076409,             0.00076409,             0.00076409
                     97,                 1.2528,                0.58702,                0.89798,                0.69897,                0.64485,                0.64755,                0.36787,                 1.3292,                 0.6446,                0.93465,             0.00075701,             0.00075701,             0.00075701
                     98,                 1.2373,                0.57639,                0.90521,                0.68564,                0.64507,                0.64186,                0.36306,                 1.3364,                0.65867,                0.93714,             0.00074994,             0.00074994,             0.00074994
                     99,                 1.2349,                0.56925,                 0.8975,                0.69876,                0.62673,                  0.642,                0.36812,                 1.3179,                0.64276,                0.93588,             0.00074287,             0.00074287,             0.00074287
                    100,                 1.2174,                0.56789,                0.89725,                0.69735,                 0.6379,                0.65031,                0.37054,                 1.3202,                0.65263,                0.93165,             0.00073579,             0.00073579,             0.00073579
                    101,                  1.245,                0.58058,                0.90188,                 0.7305,                 0.6226,                0.65984,                0.37208,                 1.3189,                0.64271,                0.93327,             0.00072872,             0.00072872,             0.00072872
                    102,                  1.247,                 0.5761,                0.89968,                0.69215,                0.63493,                0.64518,                0.37091,                 1.3237,                0.64727,                0.93215,             0.00072164,             0.00072164,             0.00072164
                    103,                 1.2349,                0.57633,                0.89991,                0.71086,                0.63739,                0.65508,                0.37198,                 1.3139,                0.64127,                0.93204,             0.00071457,             0.00071457,             0.00071457
                    104,                 1.2114,                0.56095,                0.89736,                0.68582,                0.64012,                0.64209,                0.36707,                 1.3203,                0.62714,                0.93182,              0.0007075,              0.0007075,              0.0007075
                    105,                 1.2472,                0.58264,                 0.8968,                0.69457,                0.64647,                 0.6521,                0.37016,                 1.3304,                 0.6492,                0.93957,             0.00070042,             0.00070042,             0.00070042
                    106,                 1.2423,                0.57912,                0.89807,                0.67557,                0.64422,                0.64092,                 0.3663,                 1.3138,                  0.644,                0.93075,             0.00069335,             0.00069335,             0.00069335
                    107,                 1.2243,                 0.5718,                0.89203,                0.71252,                0.63212,                0.65875,                0.37078,                 1.3148,                0.63204,                0.93097,             0.00068628,             0.00068628,             0.00068628
